file_path,WebUI,Auth,Persistence,Registry,Image,best_module,best_likelihood
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\rest\ReadyRest.java,0.00,85.00,0.00,0.00,0.00,Auth,85.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\rest\AuthCartRest.java,5.00,85.00,10.00,0.00,0.00,Auth,85.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\rest\AuthUserActionsRest.java,0.00,95.00,0.00,0.00,0.00,Auth,95.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\ISecurityProvider.java,0.00,95.00,0.00,0.00,0.00,Auth,95.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\IKeyProvider.java,0.00,90.00,0.00,0.00,0.00,Auth,90.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\RandomSessionIdGenerator.java,0.00,100.00,0.00,0.00,0.00,Auth,100.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\BCryptProvider.java,0.00,100.00,0.00,0.00,0.00,Auth,100.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\ConstantKeyProvider.java,0.00,90.00,0.00,0.00,0.00,Auth,90.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\ShaSecurityProvider.java,0.00,95.00,0.00,0.00,0.00,Auth,95.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\ISessionIdGenerator.java,0.00,95.00,0.00,0.00,0.00,Auth,95.00
services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\startup\AuthStartup.java,10.00,80.00,5.00,5.00,5.00,Auth,80.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\daemons\InitialDataGenerationDaemon.java,10.00,0.00,80.00,0.00,0.00,Persistence,80.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\converters\LocalDateTimeAttributeConverter.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\converters\LocalDateAttributeConverter.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\UserRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\PersistenceUser.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\CategoryRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\OrderItemRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\PersistenceOrder.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\OrderRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\ProductRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\PersistenceProduct.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\PersistenceOrderItem.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\domain\PersistenceCategory.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\AbstractPersistenceRepository.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\EMFManager.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\DatabaseManagementEntity.java,5.00,5.00,90.00,0.00,0.00,Persistence,90.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\DataGenerator.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\CacheManager.java,0.00,0.00,90.00,0.00,10.00,Persistence,90.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\DatabaseGenerationEndpoint.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\OrderEndpoint.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\CategoryEndpoint.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
